순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
133,이용규,키움,0.306,60,227,183,27,56,5,2,1,68,12,3,1
136,허도환,LG,0.139,58,104,79,10,11,2,0,0,13,11,5,1
137,김재호,두산,0.302,57,154,126,20,38,5,0,1,46,11,7,1
137,전병우,삼성,0.227,57,127,110,17,25,5,0,5,45,14,0,2
139,최승민,LG,0.091,56,14,11,20,1,0,0,0,1,1,1,0
139,최원영,LG,0.25,56,40,36,17,9,2,0,1,14,5,0,0
141,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1
142,심우준,KT,0.267,51,184,161,21,43,3,0,3,55,27,5,0
143,최경모,SSG,0.171,50,50,35,12,6,0,0,0,6,0,7,0
143,박시원,NC,0.205,50,144,127,15,26,3,1,2,37,14,2,1
143,김인환,한화,0.238,50,142,130,11,31,2,0,1,36,7,0,0
146,원성준,키움,0.257,49,122,109,12,28,5,0,2,39,11,1,2
147,김민식,SSG,0.208,45,126,106,10,22,5,0,1,30,10,4,0
148,김태근,두산,0.087,43,27,23,7,2,0,0,0,2,1,1,0
148,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0
150,정준영,KT,0.226,42,73,62,9,14,2,0,0,16,3,3,0
