선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
하트,NC,2.69,26,13,3,0,0,0.813,157,124,11,38,11,182,51,47,1.03,0,0,17,0,631,2465,0.215,16,1,3,1,0,2,0
네일,KIA,2.53,26,12,5,0,0,0.706,149 1/3,154,11,35,9,138,69,42,1.27,0,0,13,0,642,2398,0.259,27,1,3,1,0,3,1
레예스,삼성,3.81,26,11,4,0,0,0.733,144,159,15,30,7,114,65,61,1.31,0,0,12,0,617,2429,0.278,21,3,5,3,0,4,0
김기중,한화,6.55,26,5,4,0,0,0.556,56 1/3,79,8,26,6,36,42,41,1.86,0,0,1,0,273,1046,0.332,10,1,0,3,0,1,0
임찬규,LG,3.83,25,10,6,0,1,0.625,134,144,12,42,5,136,58,57,1.39,0,0,11,0,577,2225,0.276,29,1,3,5,1,1,0
신민혁,NC,4.31,25,8,9,0,0,0.471,121,140,20,16,7,74,67,58,1.29,0,0,10,0,524,2003,0.284,24,3,2,6,0,2,1
나균안,롯데,8.5,25,4,7,0,0,0.364,72,113,15,47,5,73,72,68,2.22,0,0,2,0,376,1477,0.354,19,0,3,2,0,10,0
최원태,LG,4.26,24,9,7,0,0,0.563,126 2/3,126,10,57,5,103,66,60,1.44,0,0,10,0,554,2117,0.263,20,1,4,8,0,5,0
최원준,두산,6.46,24,6,7,0,0,0.462,110,125,21,34,10,72,79,79,1.45,0,0,3,0,490,1929,0.283,24,2,2,2,1,1,0
황동하,KIA,4.39,24,5,6,0,0,0.455,98 1/3,103,13,42,7,80,61,48,1.47,0,0,2,0,441,1733,0.266,16,0,3,2,0,5,0
반즈,롯데,3.16,24,9,6,0,0,0.600,145 1/3,133,18,44,5,165,54,51,1.22,0,0,17,0,601,2312,0.245,16,4,5,4,0,5,0
이승민,삼성,8.23,24,1,4,0,0,0.200,47,68,14,26,2,23,45,43,2.0,0,0,0,0,233,908,0.333,8,1,0,1,0,1,0
